Number of Units,Manufacturing Cost
1,95.06605578
1.185993649,96.53174997
1.19149864,73.66131056
1.204771398,95.5668425
1.298772823,98.77701266
1.307435033,100
1.339385699,94.75975637
1.379043602,67.18538349
1.419999515,72.88604061
1.473948344,61.96769605
1.540898452,69.28409692
1.574599858,64.55249643
1.620309789,77.67937742
1.631997227,58.42664546
1.65268704,51.4409698
1.695801032,60.92903611
1.704214274,81.86775617
1.739201389,60.5725967
1.760146268,74.12260141
1.767001878,71.61417311
1.777280346,77.98340868
1.784341505,57.68193975
1.802089167,52.96440828
1.815917415,69.1787313
1.82328911,70.42005203
1.831097216,36.08580039
1.832406608,81.49469151
1.842875742,59.64067983
1.845840644,63.40954945
1.865227752,55.03613926
1.87414418,58.06045968
1.895730774,52.11412489
1.943028599,61.27727337
1.987770404,62.5960052
1.991902366,61.23299391
2.004803791,60.02154297
2.052316741,47.88555562
2.064920557,54.90274827
2.07583577,54.17817589
2.105273495,60.21890139
2.113298687,44.71285113
2.118589549,45.64983585
2.141908761,57.80822022
2.151590015,52.02926301
2.17131692,54.10994815
2.189511901,73.77810164
2.210294609,56.54285158
2.218826211,61.09323474
2.225359851,68.02951817
2.257130584,47.32132667
2.265811733,48.76154994
2.305669497,75.52197014
2.310894649,63.99907453
2.319749327,51.41362716
2.332039473,65.26837002
2.339398963,54.02985162
2.340091358,60.70732964
2.35487745,42.13535314
2.35879471,40.54420656
2.363755712,66.71268413
2.379991846,57.82831989
2.3948513,84.1944303
2.415282866,52.05941671
2.47972272,59.1296489
2.500418434,71.37560808
2.50270529,44.44253942
2.517357548,46.3641551
2.520240287,61.8796408
2.54040565,53.88202578
2.544661258,50.41445044
2.565105413,39.70497833
2.566028174,55.10355617
2.57552743,53.38827224
2.577461843,69.29293716
2.583309391,52.76647821
2.591417537,52.30721696
2.601149913,55.56943095
2.60380291,46.46106513
2.622320237,53.39451655
2.625372826,51.89758778
2.646550845,47.51052846
2.649751145,52.88281275
2.665855815,48.57842453
2.672300438,49.03049916
2.673640399,50.40206506
2.68348519,48.3006527
2.691826243,46.85413944
2.695351098,53.15093042
2.704341249,54.43253575
2.714093635,61.15460445
2.715137909,35.04031845
2.730010771,52.31833727
2.741249821,54.3271593
2.75642666,46.83855483
2.75956757,55.564663
2.761980528,48.25828248
2.762051942,50.21617071
2.763321319,63.47827452
2.766302984,58.19043503
2.768716877,52.7824137
2.769290402,51.46356889
2.784380342,39.55218499
2.794083251,57.48836014
2.800515433,45.1736874
2.818081042,62.61388793
2.833145398,38.75943874
2.834925007,48.72359842
2.840834896,51.5409172
2.861985434,63.46838444
2.866499701,57.94299255
2.867011654,47.03185761
2.867951676,57.28801991
2.870153239,50.82185012
2.872302517,45.30220825
2.877589606,55.15095013
2.879911204,56.15562694
2.880494259,51.23657104
2.882068889,52.67004307
2.898610363,51.22766924
2.912220883,48.14645225
2.935174119,51.7832235
2.935645518,49.84437556
2.943189364,38.82502575
2.947365451,34.43225112
2.957189192,54.2479001
2.963645283,60.88137902
2.976413077,45.29584889
2.994163669,52.6358567
2.998296196,42.3936968
3.005870806,43.47536539
3.00691503,58.64209835
3.028057124,53.35906151
3.029633167,60.33480459
3.033262324,40.35257435
3.039246653,50.33058815
3.049807508,44.11768825
3.049855919,54.46217615
3.053395049,49.37130414
3.054661634,49.06048369
3.056004902,42.48725972
3.061049094,59.19372961
3.062586739,50.1270252
3.063800731,40.93367757
3.074626856,46.30425214
3.075369343,37.12293689
3.088650008,46.14495683
3.089434711,55.57386345
3.090454333,57.91827206
3.090858875,46.50799081
3.091580165,42.50668906
3.096392027,42.23165721
3.10196381,41.4737039
3.10574992,40.64649151
3.106898446,46.45540158
3.112526304,35.13028137
3.117485245,43.25859684
3.120329925,45.61659085
3.125066708,46.57991823
3.125820293,43.44359512
3.129605875,48.92783413
3.132415098,60.14864133
3.133643748,56.18394499
3.135749639,46.81825899
3.136358539,61.16102299
3.170540047,46.01348806
3.175399108,49.19126818
3.17609958,60.60909519
3.178191941,50.61010052
3.180539805,43.93981811
3.182894874,34.2607683
3.182915248,45.49647278
3.187170539,39.44239678
3.187435985,38.22099833
3.204932839,41.62328818
3.210711263,48.23441976
3.211555038,38.03657062
3.214964769,36.27419147
3.221589543,45.63794355
3.224527491,38.21936364
3.224624964,41.44767402
3.229599191,39.08102569
3.234685542,55.79027389
3.244789644,51.34509415
3.248556118,38.33529669
3.254585972,54.68698146
3.264345997,48.17616692
3.269303829,45.40705855
3.273570058,45.21944945
3.277881159,48.96387392
3.278805545,30.1198667
3.280738265,44.87984276
3.287707413,48.58958162
3.287785029,42.07949007
3.291947287,42.19725437
3.294657673,51.08143221
3.301225004,43.39990885
3.309799686,38.49736728
3.326259428,62.6336471
3.32766635,40.29391558
3.333152584,25.46945637
3.335175108,37.3847811
3.33665758,50.71207444
3.338979013,47.6353733
3.340993363,51.91146643
3.348142524,41.29859432
3.357969557,52.94727372
3.360152253,45.58580157
3.362083252,41.53968161
3.362637416,53.91610253
3.368755543,57.86861779
3.371585823,43.67918613
3.371696337,38.75475977
3.372115264,41.12721176
3.378271008,46.49450364
3.383359477,41.28032912
3.385906684,34.93090553
3.389468947,53.43115664
3.40301825,49.37759431
3.406138256,48.17360822
3.407906173,22.75526402
3.408240666,47.4211401
3.410349273,51.81471991
3.413700946,42.87596634
3.413826657,41.7625706
3.417106293,48.38828034
3.418840769,52.51032406
3.426723323,49.20402565
3.426826801,36.11221868
3.432893889,46.12009947
3.43387732,47.65897734
3.447488854,46.2964003
3.474816035,39.15352593
3.477698068,41.07846097
3.479438657,48.38128147
3.480362149,45.06625839
3.488910405,46.13064469
3.498395777,38.93442652
3.514742696,32.75782167
3.528662213,43.08036922
3.537279999,44.88004621
3.541939333,48.41244756
3.544963917,48.36630157
3.552496398,38.11016745
3.552928295,30.99795154
3.558202856,48.37755252
3.573180086,48.75325213
3.575958425,43.37277893
3.576501404,44.85052102
3.579993199,44.52079801
3.592758425,39.28016763
3.59469962,39.8242429
3.595728179,29.06122871
3.605226384,52.41519721
3.607471201,36.53899251
3.608028307,41.97776748
3.614604498,47.33603528
3.628702603,45.3243949
3.630155971,44.31897754
3.635282283,47.94589191
3.635701271,36.6858293
3.637960137,42.25107499
3.642270376,40.38208573
3.651898172,36.00538193
3.655849092,37.00659152
3.661754087,33.93708035
3.661820463,55.60457215
3.667374871,37.4869385
3.667762066,40.92611464
3.668186422,33.68873759
3.673141086,37.57813071
3.680401917,43.56335545
3.684824684,47.56566271
3.688500002,42.91101809
3.692456976,32.87256674
3.692640689,53.73477371
3.693289642,30.93269931
3.694342727,49.71134093
3.697191747,38.32032659
3.699903834,46.60419568
3.704991005,49.39596876
3.714137133,37.32495362
3.716173014,39.53169683
3.721615603,41.49675502
3.722488999,41.81651708
3.726718371,45.80757442
3.734395608,35.62580192
3.737880092,40.80006267
3.743678781,38.03019979
3.745589912,43.00180997
3.746875677,45.46579774
3.747924687,37.00762586
3.750576806,31.73586082
3.751749222,46.30893619
3.752124104,38.34792267
3.756672849,47.82366099
3.760626703,51.60077475
3.762413683,39.66890654
3.764657944,42.27673424
3.769673939,44.81353532
3.776627679,48.50805047
3.78495493,54.86844454
3.785787295,54.86520198
3.791450641,37.5944998
3.792001685,37.89114878
3.801138027,45.9474189
3.813193702,39.27397622
3.818163502,36.54182399
3.822765406,46.51369479
3.831332455,37.74245608
3.831469878,38.02305454
3.838448111,38.98461662
3.84142222,45.18006667
3.846316273,40.27463661
3.847699703,32.18573971
3.849096522,43.38787928
3.862141583,39.06772008
3.865207248,41.12512542
3.869536797,41.86053411
3.870495547,32.16955676
3.87397592,45.07274835
3.877161153,34.29501751
3.878193613,43.07809369
3.880863119,41.53257425
3.885966616,42.96387742
3.887597509,37.64091363
3.889741032,40.48436718
3.898163022,44.48825883
3.910368011,45.46791798
3.911652679,44.90972964
3.913639894,42.76381497
3.920927484,43.07249598
3.92207178,37.03517975
3.925888747,35.3035873
3.928317021,43.62655943
3.932413974,31.22434406
3.936226129,36.87372633
3.938928803,45.14084113
3.940463049,28.02357568
3.941359237,39.66587297
3.942214244,46.29143505
3.945409823,31.55222413
3.946664197,43.3938276
3.964184984,45.01883047
3.965943239,42.87071145
3.965944642,39.89107742
3.969255467,44.56489448
3.978837697,41.8175534
3.981925841,36.53510147
3.982240066,41.92758006
3.985364002,41.78257709
3.991044543,38.8023695
3.995131817,39.20000388
3.997494507,39.41391327
3.999348188,39.55293186
4.003158447,41.53450041
4.00438294,23.28779345
4.007574762,54.60100359
4.010712136,36.57230175
4.022308462,45.2462729
4.026052977,47.35496484
4.026484701,40.99418967
4.027391708,32.47404653
4.0291026,39.45820529
4.029570492,39.00929342
4.02966637,31.02236503
4.036877781,37.87662525
4.039976931,38.49288228
4.042396679,45.24988807
4.051577499,39.64441989
4.051758228,48.31229726
4.058413185,33.43968117
4.062852624,35.69325874
4.069333166,37.80605145
4.075080292,34.34830317
4.077250826,36.07262823
4.077338977,40.96691048
4.078161159,38.9561649
4.08587603,44.44929978
4.086945407,38.30408823
4.087006082,45.03684047
4.090057628,34.83255084
4.091165601,37.71375571
4.094097535,36.36355614
4.096708412,45.69190633
4.098933643,41.60368687
4.099510712,43.33391617
4.104189924,42.98873046
4.106144083,36.20020034
4.109661778,33.71486626
4.116098718,48.4038962
4.116452413,27.53090235
4.116631708,36.56061695
4.117803715,29.96432828
4.11806223,45.30823906
4.11953725,56.98098855
4.121182864,36.56033492
4.124224681,36.44687878
4.126858194,50.10852182
4.126878134,39.5220704
4.126947743,37.51305719
4.131294466,43.19541166
4.132065921,40.00589124
4.141256758,43.97981621
4.142275637,34.98269128
4.153851008,43.77452117
4.159414978,41.15292411
4.168528022,32.45998498
4.169175443,46.39831511
4.171751723,36.00162107
4.174971021,44.05418031
4.178646697,41.17726501
4.18228903,43.0906621
4.182396913,51.59152649
4.182683708,43.01648153
4.186184947,48.14361208
4.193284068,34.97199651
4.194513373,43.83271114
4.197963447,28.01255531
4.197989042,29.31794919
4.200602456,29.11984836
4.201628717,41.68891793
4.204396647,38.17130899
4.206456784,50.81234853
4.211502191,44.14281467
4.214040049,33.95171357
4.2144105,46.34681133
4.222174465,50.8774153
4.222359781,42.97970636
4.224622184,44.17736547
4.225076521,45.67049099
4.226730739,37.71543459
4.229363003,44.15153854
4.229501948,42.0659073
4.232913379,41.04608017
4.235860119,41.40399049
4.242124111,44.84593121
4.243957551,45.3392206
4.24769005,39.88022906
4.248094302,41.10975343
4.249965424,31.22016743
4.25046278,31.09285688
4.251257154,40.07195041
4.254260564,30.26101551
4.255485867,38.66418161
4.258902101,31.57811373
4.262270883,44.14003647
4.266698336,36.42038487
4.267831282,38.80729087
4.27402503,33.51121081
4.27707422,28.92768677
4.282543978,38.75928515
4.284479176,38.23796267
4.285044608,46.50228983
4.292580774,41.14039119
4.29274056,40.59019608
4.293749782,43.23988977
4.301251931,43.97222346
4.302009558,34.94882282
4.302062847,38.89674551
4.30327996,42.20431976
4.303724013,41.18472444
4.305632826,41.50117516
4.306284702,41.26266172
4.309435718,40.13969975
4.314133461,43.95664701
4.317662266,37.12082045
4.318396592,41.33510839
4.321002226,41.06668315
4.323317066,35.96450243
4.324033046,41.03018903
4.325754959,38.1367244
4.328407901,29.80072794
4.33109961,40.16030493
4.33231603,36.70193843
4.334147785,40.26465925
4.337507202,41.2859661
4.339427589,40.17990672
4.340398455,36.02410822
4.342330161,30.46025255
4.351203018,40.61816688
4.354279531,39.93386232
4.356272218,42.54024848
4.360462111,42.12171259
4.361321794,35.89050004
4.384274911,40.15714766
4.392126439,38.25912039
4.398994188,42.03671136
4.399514306,37.56791445
4.408811399,41.9111544
4.412496965,40.06643561
4.413659942,36.12731175
4.414817719,49.99288178
4.427061143,41.18251859
4.429052348,39.50134953
4.429640587,47.23531773
4.430560967,29.75469058
4.432563737,26.73091066
4.433309849,29.82499149
4.433745457,46.44030271
4.434515522,37.09545301
4.437399506,35.10598338
4.438021551,37.77412292
4.442179202,30.22002751
4.447425517,38.92332016
4.449448565,35.91504111
4.454467869,38.8958798
4.45950476,35.00483024
4.461606359,39.89855119
4.466130317,37.316616
4.468787265,40.43381869
4.472895601,38.0286205
4.476238531,34.71299871
4.4778499,31.16960412
4.483808802,41.78015671
4.48653473,30.32130226
4.490304508,45.26398931
4.497949986,39.37905003
4.509317505,43.61814396
4.509575417,49.29137783
4.510988741,39.01406038
4.512943243,33.75200581
4.518689038,38.63448332
4.522098687,35.18462096
4.524484291,38.21968069
4.526265262,43.35371989
4.526320012,29.92610876
4.527348773,42.54050275
4.533493655,42.33654984
4.533830793,40.4541983
4.536440677,36.78029739
4.537263695,35.51201747
4.539565043,29.31243747
4.541293939,44.86296391
4.543951205,41.71176556
4.544951728,46.42356115
4.548429108,43.81636118
4.549560491,38.55760788
4.549770994,35.169072
4.564620653,31.55177592
4.56469951,29.96375241
4.576400336,30.46515914
4.579637851,29.94251996
4.579731933,38.80304077
4.583115862,36.88984878
4.584199676,33.64259864
4.591665092,39.66956921
4.59218577,28.48891379
4.592221245,37.15747701
4.59793641,29.45465644
4.600217038,45.43204497
4.604121739,37.56976429
4.606940156,42.15033562
4.612557676,38.22856398
4.613002752,40.33228937
4.614245126,29.34360027
4.615372309,39.24438787
4.615855488,29.6214267
4.616828202,48.03420811
4.620192794,41.92433636
4.624359916,37.37453157
4.624842076,35.25018558
4.625938334,39.81401608
4.634069638,40.01286841
4.643168299,41.65337146
4.643380769,35.78717647
4.645377262,38.36727089
4.646561662,33.29359415
4.649941847,36.57155213
4.653061177,33.13678805
4.653620791,37.4215521
4.660855653,39.51226522
4.663495487,42.26147129
4.668737772,47.1387715
4.682636081,40.27869404
4.686326817,32.93628653
4.688091904,48.51287989
4.693068756,35.11012812
4.695267666,36.97983371
4.697468972,41.28625768
4.702413104,40.75965084
4.704647803,37.97646973
4.715846087,36.83604189
4.716784836,41.08782226
4.719426503,33.11905694
4.721205357,29.42589725
4.721307495,36.51833674
4.724776739,35.44982162
4.730359893,36.84396868
4.733696485,44.20792141
4.734410494,40.40304103
4.735662809,32.57479762
4.737483549,42.06978602
4.747977094,32.92701532
4.775873049,35.84022023
4.776329319,28.46582664
4.781504652,39.03240509
4.784456426,39.0619489
4.787700341,33.91630554
4.791174538,42.61405703
4.794305827,39.51482603
4.794625329,43.50117145
4.797410109,42.53488424
4.798104743,40.28077065
4.80797516,40.5358884
4.811275514,37.43602186
4.81805367,40.17454385
4.819877435,36.10275458
4.82380997,39.23396405
4.836046144,38.34363836
4.850305313,32.18629405
4.855505039,32.98928453
4.857484293,31.06489525
4.859392048,36.10270546
4.864688769,38.75472855
4.868220665,40.61887013
4.872784899,40.08445682
4.877256169,39.54348869
4.877604646,33.76087795
4.879509623,32.27142748
4.892766727,39.19203679
4.903110278,20.77248294
4.908007338,31.60402774
4.91834548,38.76319331
4.91906218,40.39957839
4.921063951,39.66597901
4.923698835,46.09742515
4.925291963,39.15216146
4.934305873,40.23655958
4.934726268,47.25478791
4.938851877,39.88818495
4.93965651,29.17345186
4.945362631,33.75820129
4.946467309,36.82738404
4.948448671,33.66718203
4.950785997,33.22324052
4.950910627,42.02006999
4.955669004,39.80644797
4.963726965,37.18542975
4.969887418,26.89024675
4.9699338,37.46074694
4.971348138,29.86672189
4.975897279,33.5691843
4.977295633,32.276264
4.978921763,42.64400514
4.983105015,38.73022246
4.983314528,30.21962527
4.987265945,43.13920701
4.987827491,33.90355529
4.992818026,33.94802717
4.993788739,36.40271884
4.995792216,32.77912977
5.003024941,29.62358313
5.010401548,40.54099982
5.013988591,30.50819391
5.019707407,29.92780144
5.020604525,35.66725642
5.021055828,39.09535773
5.021861012,37.69270945
5.028844012,41.88453669
5.029029771,30.08125836
5.030595729,34.98298534
5.032729752,39.6311883
5.034142947,32.85512707
5.037143131,43.84727103
5.040133167,44.37398271
5.042363844,32.60598894
5.04421788,31.06664639
5.045736925,33.20601822
5.045997403,44.36108665
5.049712235,41.33378144
5.049818578,38.10793719
5.055428038,35.36213452
5.055962691,38.52019292
5.057271635,42.41601563
5.061620422,32.7369881
5.063704073,37.4655387
5.06872701,39.39795558
5.068888391,41.22574142
5.077623449,29.08758179
5.078900833,32.07834505
5.083548547,38.09408994
5.084256208,34.59846415
5.087086014,38.58855371
5.089636494,31.0952097
5.091348525,37.01143132
5.091725521,26.53921484
5.099576646,31.78820285
5.100007568,36.25672741
5.100012551,35.94805991
5.10124785,45.67199073
5.102381522,35.55564521
5.10425814,25.2454743
5.11086907,39.03741933
5.111409909,30.44842987
5.112336557,33.41800038
5.112873481,41.6112139
5.118078029,38.773325
5.121796786,39.82189093
5.122439161,30.86180121
5.136726205,36.37767196
5.139741857,38.84915453
5.144378393,26.52141583
5.173122587,35.10531491
5.180007888,33.6766536
5.184286756,30.64724726
5.18601069,28.82009943
5.1933765,35.2369726
5.193985523,31.97106321
5.195440984,40.83713344
5.197884089,35.1904131
5.198568249,31.8193859
5.200222748,36.20049944
5.201227257,28.28684139
5.203776994,25.94636463
5.205138947,33.96475989
5.208441376,33.16479312
5.210917,39.90129802
5.212472338,35.6134378
5.218928587,35.85114615
5.220416951,31.31789253
5.226354871,33.37594249
5.22647295,36.44661794
5.229377818,33.26811026
5.23361576,30.86976037
5.248591404,33.97319989
5.252402377,31.99631409
5.253245522,34.31035463
5.257626083,40.38804274
5.261029242,35.82128314
5.26415418,35.93949089
5.2663945,28.23953024
5.266976809,35.20712872
5.269728851,32.05217832
5.271337396,33.56988118
5.272003045,32.16102691
5.283807137,28.92812904
5.284642147,38.96003475
5.284689764,33.23349717
5.287903589,33.87583074
5.289437742,37.25520218
5.292695854,34.55060896
5.3027349,35.07196819
5.30357877,30.09979764
5.309398491,39.81157435
5.311163868,35.00456358
5.314815743,29.96348014
5.315938058,33.63464677
5.320845144,39.79028444
5.323201766,32.03674841
5.324718059,37.15347017
5.324965389,30.99861253
5.326715836,33.3091274
5.333572685,39.76943148
5.334044502,38.91302642
5.336298955,30.44289969
5.339165447,36.05232634
5.347772481,26.18172806
5.349363795,35.76668676
5.363831091,33.08430661
5.372548186,31.04997749
5.375003134,32.32823537
5.376568203,41.14045167
5.37911055,35.16581601
5.381308574,38.10650811
5.389521515,31.19150058
5.410812595,32.92912753
5.419682311,33.69213842
5.421162153,29.20552427
5.426341235,37.29065802
5.428891359,35.508299
5.439689556,23.66637286
5.444548753,38.96480478
5.446993646,32.26658315
5.448134284,30.68418603
5.451068281,32.99143863
5.454202211,37.72062167
5.460769469,32.58831174
5.462197826,35.30693771
5.462203448,31.08192305
5.462420426,23.08998642
5.463823484,34.18608496
5.469936723,40.37076302
5.473177825,29.96709154
5.474908711,33.55067539
5.477355904,23.13452348
5.483297749,32.0757134
5.484124921,39.81839608
5.48524348,31.72805563
5.490936509,33.32400656
5.500972953,35.01356678
5.510675879,34.06036657
5.513647432,34.8103577
5.514172565,31.90586
5.514346611,32.65324688
5.518656859,29.63619876
5.530554356,33.37110032
5.53627686,29.22404573
5.536359962,35.23072991
5.539280278,25.08498445
5.542393471,35.77894828
5.544877733,32.3560992
5.549019576,34.11176238
5.553785968,30.35290389
5.554847087,35.30497267
5.555177458,42.87962045
5.557184303,31.03906832
5.56168774,34.19750329
5.563937695,30.07889161
5.565770494,31.9825312
5.572948563,38.25805742
5.574643077,34.7708979
5.577655954,31.94924607
5.581812759,29.69309889
5.585687117,35.13275515
5.586302679,31.73138339
5.590914493,32.7078097
5.591624422,32.37115798
5.599144742,30.89542023
5.618098704,32.06359622
5.618421465,30.74378296
5.620455527,26.06632975
5.625775618,40.8208233
5.62667757,35.08351018
5.627580764,33.8037568
5.628320835,29.51934368
5.633084203,37.1801469
5.639407774,22.41652473
5.639847413,30.16394407
5.64129617,26.64813941
5.650255104,38.12476551
5.651714105,37.72208502
5.656576183,32.69266912
5.656691788,30.80536356
5.657937407,31.24601177
5.661818821,36.68906258
5.664529768,36.48329178
5.665155928,33.55474739
5.684717554,35.07519464
5.692784003,31.13285348
5.694436318,29.83754284
5.700883212,33.99549021
5.712412316,40.42920004
5.712924533,31.35743146
5.714184226,41.03758049
5.718746384,33.31100094
5.736109155,29.29202088
5.74772875,29.63899535
5.748832917,33.91219395
5.756110174,37.90243269
5.775613595,38.50703478
5.780970918,28.8867532
5.783959581,28.29574892
5.786635484,32.11521267
5.798531159,29.67253324
5.803924227,35.28548352
5.814036441,29.27900379
5.814465112,31.55042141
5.827439584,36.01151098
5.833620428,36.82003802
5.853092452,36.3447968
5.855097207,37.93940046
5.857551019,25.33883567
5.866673556,30.1620856
5.86814353,31.54947022
5.891076183,31.76666819
5.892589027,28.76726821
5.901555888,34.39051151
5.903666147,33.27981957
5.910107723,37.86909184
5.915278831,32.20379618
5.9161393,32.78141836
5.920473048,29.29134789
5.926661793,33.67479596
5.930532285,34.47097148
5.942827122,30.79949103
5.949056703,24.7179456
5.965069796,30.0194945
5.968351958,30.23073859
5.980288881,37.42667476
5.984347388,34.80547175
5.993235225,30.26400435
5.996516778,29.63713157
5.998642514,32.14797102
6.011321311,34.53656065
6.013318608,33.62389025
6.017154312,29.05633226
6.021125239,36.09533307
6.022947998,37.28669725
6.031719259,30.83047301
6.042707347,32.21379439
6.058809801,29.99950754
6.061794534,34.69919549
6.064986788,34.24443331
6.073005266,29.29377778
6.080971723,27.55472935
6.095813259,38.42968815
6.096942142,33.41753558
6.098896518,31.66035838
6.100828622,35.62582784
6.113586975,31.37264345
6.118213821,32.82623063
6.124838717,29.78553635
6.128388739,29.32168563
6.155922466,23.67262485
6.161194467,24.77808022
6.177396814,37.76127028
6.193682444,33.35593178
6.196250459,34.4888004
6.196566114,28.59135612
6.215399981,32.38007663
6.228206843,31.98169402
6.232970407,32.92519186
6.236364391,25.30199358
6.250180825,30.83811976
6.252838422,36.11661178
6.266604703,24.70626585
6.312070942,32.45272829
6.312409254,24.23805665
6.344413495,32.28945458
6.354521742,36.20124952
6.356889512,29.91047047
6.376523423,29.11256403
6.38525326,30.90256755
6.386338898,26.51947606
6.38762569,31.66390179
6.398272699,27.61398607
6.404114215,34.23447323
6.406995132,30.1587889
6.409837815,24.79574252
6.431290889,41.25939167
6.466134394,36.1820649
6.476507941,30.22217826
6.488086208,33.20257446
6.488956033,31.99785892
6.527013288,32.371048
6.532977426,25.434653
6.573300251,31.79121537
6.588959527,24.08782178
6.59142023,25.8502678
6.592604805,27.49366784
6.595281675,22.2380554
6.600896902,23.09891425
6.62149696,33.05186511
6.633312105,32.73773578
6.643414125,38.26943878
6.683820432,29.03188657
6.684223391,34.43944946
6.69209119,32.64858694
6.717593089,31.41678346
6.719778986,36.852446
6.727705062,31.49430846
6.767157548,35.99419015
6.794418206,32.80125867
6.838486638,30.75132792
6.842916969,24.72359365
6.851837277,28.75397833
6.852618685,33.3276417
6.865924221,27.90111307
6.887837684,29.1315029
6.920144746,28.34876956
6.935947326,28.76103022
6.942155099,23.53141387
6.946065312,27.53044803
6.964560842,35.86836216
6.971146075,31.8268412
6.976978487,29.51877185
7.018035448,28.2552322
7.058891024,25.04041477
7.065652823,27.80402691
7.068789308,32.4108484
7.079726271,35.27332605
7.107061187,36.08243319
7.14590702,33.09686837
7.169643634,25.31183326
7.182429722,31.22157703
7.190774604,29.98614675
7.244681931,29.32902456
7.311213498,31.23904759
7.331886655,27.24265193
7.388333371,29.16686386
7.41198224,28.60853081
7.503608477,24.79914803
7.518630346,25.16940625
7.571656052,30.75353818
7.584512662,27.70908914
7.598036681,30.2615081
7.60433574,29.86650685
7.629967676,30.52104352
7.70189909,31.92616325
7.843784563,20
7.900366219,27.59512971
7.927896707,24.700869
7.974247639,24.00002386
7.998721593,22.34981718
8.087333531,26.56988756
8.099709588,23.85506653
8.73975165,27.53654204
8.780888123,25.97378724
8.897699706,25.13831092
10,21.54777671
